player,season,nation,age,Matches Played,Avg Mins per Match,Rating,Goals,Assists,Expected Goals,Progressive Passes,Tackles Won,Interceptions,Saves,prev_1_rating,prev_2_rating,rating_change_1yr,rolling_avg_3yr,Goals_per_90,Assists_per_90,Expected Goals_per_90,Progressive Passes_per_90,Tackles Won_per_90,Interceptions_per_90,Saves_per_90,age_squared,pos_DF,pos_FW,pos_GK,pos_MF,next_season_rating
Harry Kane,2022,England,29,38,3405.0,7.44,30,3,21.4,180,12,2,0,7.38,7.63,-0.25,7.483333333333333,0.7929515418502203,0.07929515418502203,0.5656387665198238,4.757709251101322,0.31718061674008813,0.05286343612334802,0.0,841,False,True,False,False,7.76
Harry Maguire,2017,England,24,38,3420.0,7.03,2,4,2.8,178,46,48,0,,,,7.03,0.052631578947368425,0.10526315789473685,0.07368421052631578,4.684210526315789,1.2105263157894737,1.263157894736842,0.0,576,True,False,False,False,7.05
Harry Maguire,2018,England,25,31,2596.0,7.05,3,0,2.4,190,17,36,0,7.03,,,7.04,0.10400616332819723,0.0,0.08320493066255777,6.587057010785824,0.5893682588597843,1.2480739599383668,0.0,625,True,False,False,False,7.13
Harry Maguire,2019,England,26,38,3420.0,7.13,1,1,2.1,171,23,72,0,7.05,7.03,0.019999999999999574,7.07,0.026315789473684213,0.026315789473684213,0.05526315789473685,4.5,0.6052631578947368,1.894736842105263,0.0,676,True,False,False,False,7.13
Harry Maguire,2020,England,27,34,3047.0,7.13,2,1,2.3,194,17,60,0,7.13,7.05,0.08000000000000007,7.103333333333333,0.0590744995077125,0.02953724975385625,0.06793567443386937,5.730226452248113,0.5021332458155563,1.772234985231375,0.0,729,True,False,False,False,6.91
Harry Maguire,2021,England,28,30,2515.0,6.91,1,0,1.9,115,21,32,0,7.13,7.13,0.0,7.0566666666666675,0.03578528827037773,0.0,0.0679920477137177,4.11530815109344,0.7514910536779325,1.1451292246520874,0.0,784,True,False,False,False,6.950000000000001
Harry Maguire,2022,England,29,16,767.0,6.950000000000001,0,0,0.3,26,6,13,0,6.91,7.13,-0.21999999999999975,6.996666666666667,0.0,0.0,0.035202086049543675,3.0508474576271185,0.7040417209908736,1.5254237288135593,0.0,841,True,False,False,False,7.13
Harry Toffolo,2022,England,26,19,940.0,6.58,0,0,0.3,29,8,10,0,,,,6.58,0.0,0.0,0.02872340425531915,2.776595744680851,0.7659574468085106,0.9574468085106382,0.0,676,True,False,False,False,6.769999999999999
Harry Wilson,2019,Wales,22,31,1646.0,6.860000000000001,7,0,4.0,66,13,11,0,,,,6.860000000000001,0.3827460510328068,0.0,0.21871202916160387,3.6087484811664643,0.7108140947752126,0.6014580801944107,0.0,484,False,False,False,True,6.73
Harry Wilson,2022,Wales,25,29,1100.0,6.73,2,3,2.0,37,13,6,0,6.860000000000001,,,6.795000000000001,0.16363636363636364,0.24545454545454548,0.16363636363636364,3.0272727272727273,1.0636363636363637,0.49090909090909096,0.0,625,False,True,False,False,6.98
Harry Winks,2017,England,21,16,774.0,6.79,0,1,0.1,69,12,11,0,,,,6.79,0.0,0.11627906976744186,0.011627906976744188,8.023255813953488,1.3953488372093024,1.2790697674418605,0.0,441,False,False,False,True,6.74
Harry Winks,2018,England,22,26,1597.0,6.74,1,0,1.0,124,13,21,0,6.79,,,6.765000000000001,0.056355666875391355,0.0,0.056355666875391355,6.988102692548528,0.7326236693800876,1.1834690043832186,0.0,484,False,False,False,True,6.78
Harry Winks,2019,England,23,31,2221.0,6.78,0,0,0.5,190,24,36,0,6.74,6.79,-0.04999999999999982,6.7700000000000005,0.0,0.0,0.020261143628995948,7.69923457901846,0.9725348941918055,1.4588023412877082,0.0,529,False,False,False,True,6.66
Harry Winks,2020,England,24,15,861.0,6.66,0,0,0.1,62,9,11,0,6.78,6.74,0.040000000000000036,6.726666666666667,0.0,0.0,0.010452961672473868,6.480836236933798,0.9407665505226481,1.1498257839721255,0.0,576,False,False,False,True,6.84
Harry Winks,2021,England,25,19,912.0,6.84,0,1,0.1,73,10,16,0,6.66,6.78,-0.1200000000000001,6.760000000000001,0.0,0.09868421052631579,0.009868421052631578,7.203947368421052,0.9868421052631579,1.5789473684210527,0.0,625,False,False,False,True,6.76
Harvey Barnes,2018,England,20,16,1004.0,6.86,1,2,3.9,27,6,3,0,,,,6.86,0.08964143426294821,0.17928286852589642,0.349601593625498,2.4203187250996017,0.5378486055776892,0.2689243027888446,0.0,400,False,False,False,True,6.81
Harvey Barnes,2019,England,21,36,2083.0,6.81,6,8,8.1,90,11,8,0,6.86,,,6.835,0.25924147863658187,0.34565530484877577,0.34997599615938546,3.888622179548728,0.47527604416706676,0.34565530484877577,0.0,441,False,False,False,True,6.86
